title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data Analyst,Data Analyst,Bansal Trading Company,"Wazirpur Phase Iii, Delhi","Must have good communication skills.
Capable of managing the office and coordinating with the team.
Good Knowledege of Advance Excel, Google Sheet.",EmployerActive 1 day ago,"₹25,000 - ₹35,000 a month",2023-03-15,/company/bansal-trading/jobs/Data-Analyst-98384cfb0c5ae2ab?fccid=81942089810d41e7&vjs=3
Data Analyst with strong SQL,Data Analyst,Anika Technologies,India,"Experience of working in Financial Services (investment banking , trade life cycle,.
Treasury , financial products - cash and derivative etc).",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=284b2f480784b735&fccid=5f040f1f4e2eb512&vjs=3
Senior Data Analyst,Data Analyst,DSM SOFT PVT. LTD,"Tiruchchirappalli, Tamil Nadu","Experience in preparation of reports and charts from structured and unstructured data.
Good in arithmetic and simple maths.",EmployerActive 1 day ago,"From ₹4,00,000 a year",2023-03-15,/company/DSM-SOFT-PVT.-LTD/jobs/Senior-Data-Analyst-23b325c7688d7c5e?fccid=0ad1f33bfe3b6bf7&vjs=3
Data Analyst,Data Analyst,Goalreify,"Bengaluru, Karnataka","Own data analyses that will help improve user discovery and social interactions in the app.
Graduate degree in Computer Science, Statistics, Informatics,…",PostedPosted 30+ days ago,"₹17,00,000 a year",2023-03-15,/rc/clk?jk=a2c626a6b7ae2b44&fccid=ed2791a498d13562&vjs=3
Data Analyst,Data Analyst,Inno Valley Works,"Coimbatore, Tamil Nadu","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",EmployerActive 8 days ago,"Up to ₹6,00,000 a year",2023-03-15,/company/Inno-Valley-Works/jobs/Data-Analyst-d5be4c3ea329d876?fccid=370fde8a196b48f4&vjs=3
Data Analyst -3,Data Analyst,BK Talent Lease Consulting,"Gurgaon, Haryana","Data Analyst -3 BKTC is looking for young and energetic Data Analysts, freshers and experienced for a leading international Consulting firm to join our…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=bfe043b8ef7b96f8&fccid=552864f934d772c1&vjs=3
Analyst- Medical Analytics,Data Analyst,Novartis,"Hyderabad, Telangana","Hands-on experience with the following: Qlik Sense development, data visualization, data modelling.
Provide Business analytics support to Novartis internal…",PostedPosted 28 days ago,?,2023-03-15,/rc/clk?jk=7d5936838cbbe1f4&fccid=c35194d01a9e2595&vjs=3
Business Intelligence Analyst,Data Analyst,Fedbank Financial Services Limited,"Mumbai, Maharashtra","Drive initiatives to improve data quality, data integration and data governance – financial and non-financial both.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=c3e24f6bde5659c9&fccid=b79ad6f5645e2eb8&vjs=3
Data Analyst,Data Analyst,Easyjobs Recruitment,"Calicut, Kerala","Work with data integration team to define and load data sources from multiple data warehouse systems.
They bring technical expertise to ensure the quality and…",EmployerActive 1 day ago,"₹20,000 - ₹30,000 a month",2023-03-15,/company/Easyjobs-Recruitment/jobs/Data-Analyst-b6705898cd54dc07?fccid=f281eb7e1e211f76&vjs=3
Data Analyst,Data Analyst,NovoTree Minds Consulting,"Bengaluru, Karnataka","Successful candidates will be analytical with business acumen, and detail driven with excellent problem solving skillsThe ideal candidate will have a strong…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=d0e01945d6161158&fccid=a4ce409768224727&vjs=3
Growth Marketing Data Analyst,Data Analyst,Stepping EDGE,"Coimbatore, Tamil Nadu","Utilize heavy data analysis of site and app optimization program performance.
Experience with web/product data analysis and visualization tools (i.e. Tableau,…",EmployerActive 1 day ago,"₹15,00,000 - ₹23,00,000 a year",2023-03-15,/company/Stepping-EDGE/jobs/Growth-Marketing-Data-Analyst-2e49c1ea6d2c5313?fccid=a8cb5096b49eab7a&vjs=3
Data Analyst I,Data Analyst,Juego Studios,"Bengaluru, Karnataka","Python knowledge - creating data flows.
Proficient in complete SDLC as a Business Intelligence Solution with responsibilities like Requirement gathering,…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=f02605289700953c&fccid=4ffd3a9251c9ebf7&vjs=3
Tools & Data Analytics,Data Analyst,Airtel India,"Gurgaon, Gurugram, Haryana","Work with a variety of both internal technical teams, as well as outside partners, acting as a subject matter expert to aid in defining hypotheses and sourcing…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=e0e68e0875eb34a4&fccid=bb95ccf807a8406a&vjs=3
Data Analyst,Data Analyst,KP Group,"Surat, Gujarat",Experience : 3 yr Qualification : Any Graduate Location : Surat Click Here To View Job…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a6ca5d69da9c0062&fccid=f5ef1d8c4517775c&vjs=3
