,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
33,Senior Data Catalog Product Analyst,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Can explain data concepts like metadata, data governance, data dictionary, business glossary, data lineage and train users on using the Data Catalog platform.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1TTbUejwmjiSgq72YPe5icDm-vrnHojK4tZERC2CC28LEBskUUXAnV4QHcLb-J0UvRV746ZVlCh_uwbz38a5DdeSBb6EwbTiC7bv_A2relfmYbG5a65Z9-VfqlWkmnjK2fOBbkSDjGZCGsYPe6axKHeR2yMgz3-T91NM3Sjo_2iTdHP2pAkoW5WC5koyWfnvNG-07QEQxeMDMgzKRpcvSusrJKHy9681_BAS8y1rAjnBz_66Msbt102fxw6NQqXzPbhZN7g0392X9MUE7iNl2wleXAluodgVgKmLlf67ZhjDREf8bZCLSTnAEeAFybxPh3D5_zjPlgmKSK2-OupOfVzn0O1eNFUVHsZBAHgpwEF1EonykCeo5wo4I1U2z-P9oqc8xcgrMRD4hPCGe_Hwt11QUizEncAutcJRpGeh0LSIhaUHBXJzWMLqB2oJ7oDLbKFGwOOLgdageqxJX5xz53ZGRivSUt6S8oR-mm9LK5-UQ&xkcb=SoC4-_M3Syq3HGyS8Z0KbzkdCdPP&p=11&fvj=0&vjs=3
34,Data Architect - Data Analytics & Insight In-progress,Data Analyst,Blazeclan Technologies,"Pune, Maharashtra","Understanding of the benefits of data warehousing, data architecture, data quality processes, data warehousing design and implementation, table structure, fact…",EmployerActive 13 days ago,"₹15,00,000 - ₹28,22,396 a year",2023-03-15,/company/Blazeclan-Technologies/jobs/Data-Architect-253821df3455f6d2?fccid=8b651b1d91977216&vjs=3
35,ETL & BI Test Analyst,Data Analyst,Technovatrix,India,"Experience in data warehousing and BI testing with strong data analysis, SQL & data analytical skills.
Validation of data transformations and perform End-to-End…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=33bc0e3d3fe988da&fccid=e96fc15ba6fbc144&vjs=3
36,Senior Data Analyst,Data Analyst,Resource Tree,"Remote in Bengaluru, Karnataka","Use data systems to help gather, measure, organize, and analyse data.
While your primary focus will be on the data engineering and application engineering…",PostedPosted 30+ days ago,"₹5,44,050 - ₹24,74,278 a year",2023-03-15,/company/Resource-Tree/jobs/Senior-Data-Analyst-4edbe6c8eb5dad83?fccid=5cd7139a4e4a7e26&vjs=3
37,Data Analyst,Data Analyst,Venhan Technologies,Remote,"Technical proficiency regarding database design development, data models, techniques for data mining, and segmentation.
Accuracy and attention to detail.",PostedPosted 30+ days ago,"₹15,00,000 - ₹20,00,000 a year",2023-03-15,/company/Venhan-Technologies/jobs/Data-Analyst-307b34c106de7a88?fccid=4fd9bec6677d0464&vjs=3
38,Risk Analyst,Data Analyst,Business fundamental pvt ltd,"Remote in Indi, Karnataka"," Understand and analyze data to provide insights and develop strategy.
 Coding for fetching and processing data - SQL, Hive, Python.",EmployerActive 3 days ago,"₹12,00,000 - ₹25,00,000 a year",2023-03-15,/company/Business-fundamental-pvt-ltd/jobs/Risk-Analyst-1c01f8c78b0f43d9?fccid=1fb7745a930a2d0c&vjs=3
39,Data Analyst 2,Data Analyst,PayPal,"Bengaluru, Karnataka","Risk Data Analysts apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPal’s…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=83ff50e9b36cf315&fccid=978d9fd9799d55a8&vjs=3
40,Data Visualization Specialist JOBID: Exem-222-JOB,Data Analyst,Excellence and Eminence LLP,"Bengaluru, Karnataka","Demonstrate good data storytelling including guidance around structuring your data stories, choosing the right metrics, and writing a guided narrative.",PostedPosted 30+ days ago,"₹8,00,000 - ₹16,00,000 a year",2023-03-15,/company/Excellence-and-Eminence-LLP/jobs/Data-Visualization-Specialist-Jobid-e110a2dc87142a0a?fccid=5aac79bb04807066&vjs=3
41,Data Analyst,Data Analyst,Fresh To Home,"Bengaluru, Karnataka",Need to own projects from conceptualization to execution • To be able to understand and analyze data to drive business insights.,PostedPosted 26 days ago,?,2023-03-15,/rc/clk?jk=39bb8d15a3ac7dfc&fccid=d4e55efec06f38d4&vjs=3
42,Research Analyst,Data Analyst,FactSet Research Systems,"Hyderabad, Telangana","Accurate and reliable data for the client.
90% - Collect, analyze and process financial market data from various data sources and into the database utilized by…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a85cbe722a913f43&fccid=7ca19d158e5b580d&vjs=3
43,Senior Data Catalog Product Analyst,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Can explain data concepts like metadata, data governance, data dictionary, business glossary, data lineage and train users on using the Data Catalog platform.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1TTbUejwmjiSgq72YPe5icDm-vrnHojK4tZERC2CC28LEBskUUXAnV4QHcLb-J0UvRV746ZVlCh_uwbz38a5DdeSBb6EwbTiC7bv_A2relfmYbG5a65Z9-VfqlWkmnjK2fPGjj-tqS4d1Mvj5adc3ll3sq747oLU11_cYpr4PVIFtU-YbmBUcKQ6THVLbjsZt06h-_hIp-IRjpfvh1fRwzDBwaNvCB6eyss9OYXAVHzjChT7uylIHLEJU5P4rpoU10B0YDiJ2v7lCTZxgFqR4vjKmcQ7odEVuoKbsx1Z9laZhFq7UFIRDZrazjKU5Q6-E4kwtWqUXi7hpp3ijQJhbrAXxGvmzqw_ElpQfuvi55imZRSPpbYyJl6Mwn-II-GIOGhGEGq-9PWi28SRGpSVYL7iwKm0aGRm65XiZTXZoJG9CQqjWriBpjRvMFVeF6y0zb8xMyM3Vhkcof_08HKp2Qb-W0L9HgR7ebsmKZegtglh7&xkcb=SoAU-_M3Syq2jCgChD0PbzkdCdPP&p=12&fvj=0&vjs=3
44,Data Analysts,Data Analyst,Kudos India,India,"Oversee development of data definitions, helping to analyze data sets for data anomalies and/ or to verify data quality and content, and producing data quality…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=9c46fd8154ecbafa&fccid=2768b1c7490a2f15&vjs=3
45,Data Analyst,Data Analyst,Legalwiz,India,"Present information using different data visualization techniques.
Highly proficient using statistical computer languages (R, Python, SLQ, etc.) to manipulate…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=9f24ef70fee125eb&fccid=68386573afc21341&vjs=3
46,Data Analyst,Data Analyst,Zapcom Group,India,"Developing and maintaining databases, data systems – reorganizing data in a readable format.
Performing analysis to assess quality and meaning of data.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=5bd1651dfbdda185&fccid=f221c29d23a8612e&vjs=3
47,Business Analyst,Data Analyst,Scaler,"Remote in Bengaluru, Karnataka","Ability to use data models for analysis and draw logical conclusions.
Analysing data and making logical recommendations & comments and presenting forecast to…",EmployerActive 1 day ago,"Up to ₹18,00,000 a year",2023-03-15,/company/Scaler/jobs/Business-Analyst-3e36778571d1c095?fccid=3ee1fe45c325cbb5&vjs=3
48,Cyber Data Protection Analyst,Data Analyst,Deloitte,"Bengaluru, Karnataka","Cyber Security vigilantly protects Deloitte and client data.
Assist with the implementation of data security controls and design principles.",PostedPosted 14 days ago,?,2023-03-15,/rc/clk?jk=0b1e79db97ace195&fccid=9e215d88a6b33622&vjs=3
49,Sr. Data Analyst,Data Analyst,Angara E-Commerce Pvt Ltd,"Jaipur, Rajasthan","Analyze website data to determine areas of site improvement.
Create business on-demand as well as regular reports that provide insights into key data points.",PostedPosted 23 days ago,"₹6,00,000 - ₹15,00,000 a year",2023-03-15,/company/Mary-Hill-India-LLP/jobs/Senior-Data-Analyst-31baa9c4c44d2426?fccid=be2bdd1b3ee971b9&vjs=3
50,Business Intelligence & Data Engineer,Data Analyst,PBI Analytics,"Remote in Mumbai, Maharashtra","Structured training for graduates to become Data Engineer and Business Intelligence developer.
Power BI, ADF, Synapse, SQL, SSIS, etc.",EmployerActive 1 day ago,"₹1,20,000 - ₹3,50,000 a year",2023-03-15,/company/PBI-Analytics/jobs/Business-Intelligence-Data-Engineer-f699d2bf1bb91c62?fccid=d4aa60902c812037&vjs=3
51,Business Intelligence Analyst,Data Analyst,ScoopWhoop,"New Delhi, Delhi","SQL/Query skills including SQL objects development, performance tuning, data analysis and integration.
Develop and manage BI and MIS solutions.",PostedPosted 30+ days ago,"₹5,00,000 - ₹12,00,000 a year",2023-03-15,/rc/clk?jk=55d91284c3ba7df5&fccid=6d4bbaf1cd8e20a1&vjs=3
